"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","874","View Product details","","2026-05-28","passed","2026-05-28","","Products","",""
"","1686","Verify payment information on checkout","","2026-05-28","passed","2026-05-28","","Cart Tests","",""
"","1081","Checkout with empty First Name field","","2026-05-28","passed","2026-05-28","","Cart Tests","",""
"","1251","Checkout with empty Last Name field","","2026-05-28","passed","2026-05-28","","Cart Tests","",""
"","1439","Checkout with empty Zip Code field","","2026-05-28","passed","2026-05-28","","Cart Tests","",""
"","814","Filter products A to Z","","2026-05-28","passed","2026-05-28","","Products","",""
"","874","Filter by Price Low to High","","2026-05-28","passed","2026-05-28","","Products","",""
"","950","Add multiple products to Cart","","2026-05-28","passed","2026-05-28","","Products","",""
"","1780","Successful Checkout","","2026-05-28","passed","2026-05-28","","Cart Tests","",""
"","159","Login with empty Fields","","2026-05-28","passed","2026-05-28","","Users Login","",""
"","704","Login with Invalid Credentials","","2026-05-28","passed","2026-05-28","","Users Login","",""
"","882","Add product to Cart","","2026-05-28","passed","2026-05-28","","Products","",""
"","933","Verify price of item in cart","","2026-05-28","passed","2026-05-28","","Cart Tests","",""
"","1015","Get total number of products","","2026-05-28","passed","2026-05-28","","Products","",""
"","1014","Remove Product From Cart","","2026-05-28","passed","2026-05-28","","Cart Tests","",""
"","936","Remove Product from Cart","","2026-05-28","passed","2026-05-28","","Products","",""
"","793","Login as a Locked Out User","","2026-05-28","passed","2026-05-28","","Users Login","",""
"","981","Standard User Login with Valid Credentials","","2026-05-28","passed","2026-05-28","","Users Login","",""
"","828","Filter products Z to A","","2026-05-28","passed","2026-05-28","","Products","",""
"","1826","Checkout with multiple products in cart","","2026-05-28","passed","2026-05-28","","Cart Tests","",""
"","838","Filter by Price High to Low","","2026-05-28","passed","2026-05-28","","Products","",""
"","1031","View cart item quantity","","2026-05-28","passed","2026-05-28","","Cart Tests","",""
"","1642","View Cart","","2026-05-28","passed","2026-05-28","","Cart Tests","",""
